studentID,courseID,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14
2019510001,CME3010,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2019510001,CME4010,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2019510001,CME3020,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2019510001,CME4020,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2019510002,CME3030,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2019510002,CME4030,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2019510002,CME3040,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2019510002,CME4040,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2019510003,CME3050,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2019510003,CME4050,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2019510003,CME3010,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2019510003,CME4010,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2019510004,CME3020,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2019510004,CME4020,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2019510004,CME3030,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2019510004,CME4030,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2019510005,CME3040,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2019510005,CME4040,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2019510005,CME3050,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2019510005,CME4050,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2020510006,CME3010,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2020510006,CME4010,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2020510006,CME3020,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2020510006,CME4020,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2020510007,CME3030,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2020510007,CME4030,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2020510007,CME3040,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2020510007,CME4040,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2020510008,CME3050,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2020510008,CME4050,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2020510008,CME3010,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2020510008,CME4010,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2020510009,CME3020,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2020510009,CME4020,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2020510009,CME3030,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2020510009,CME4030,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2020510010,CME3040,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2020510010,CME4040,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2020510010,CME3050,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2020510010,CME4050,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510011,CME2010,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510011,CME3010,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510011,CME2020,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510011,CME3020,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510012,CME2030,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510012,CME3030,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510012,CME2040,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510012,CME3040,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510013,CME2050,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510013,CME3050,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510013,CME2010,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510013,CME3010,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510014,CME2020,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510014,CME3020,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510014,CME2030,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510014,CME3030,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510015,CME2040,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510015,CME3040,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510015,CME2050,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2021510015,CME3050,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2022510016,CME2010,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2022510016,CME2020,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2022510016,CME2030,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2022510016,CME2040,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2022510017,CME2050,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2022510017,CME2010,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2022510017,CME2020,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2022510017,CME2030,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2022510018,CME2040,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2022510018,CME2050,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2022510018,CME2010,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2022510018,CME2020,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2022510019,CME2030,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2022510019,CME2040,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2022510019,CME2050,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2022510019,CME2010,+,+,+,+,+,+,+,+,0,0,0,0,0,0
2022510020,CME2020,+,+,+,+,+,+,+,+,0,0,0,0,0,0
