courseCode,midtermWeight,finalWeight,quizWeight,homeworkWeight,labWeight,makeupWeight
CME1010,0.2,0.4,0.1,0.1,0.2,0.4
CME1020,0.2,0.4,0.1,0.1,0.2,0.4
CME1030,0.2,0.4,0.1,0.1,0.2,0.4
CME1040,0.2,0.4,0.2,0.2,0.0,0.4
CME1050,0.2,0.4,0.2,0.2,0.0,0.4
CME2010,0.2,0.4,0.1,0.1,0.2,0.4
CME2020,0.2,0.4,0.1,0.1,0.2,0.4
CME2030,0.2,0.4,0.1,0.1,0.2,0.4
CME2040,0.2,0.4,0.1,0.1,0.2,0.4
CME2050,0.2,0.4,0.2,0.2,0.0,0.4
CME3010,0.2,0.4,0.1,0.1,0.2,0.4
CME3020,0.2,0.4,0.2,0.2,0.0,0.4
CME3030,0.2,0.4,0.2,0.2,0.0,0.4
CME3040,0.2,0.4,0.2,0.2,0.0,0.4
CME3050,0.2,0.4,0.1,0.1,0.2,0.4
CME4010,0.2,0.4,0.2,0.2,0.0,0.4
CME4020,0.2,0.4,0.1,0.1,0.2,0.4
CME4030,0.2,0.4,0.2,0.2,0.0,0.4
CME4040,0.2,0.4,0.2,0.2,0.0,0.4
CME4050,0.2,0.4,0.2,0.2,0.0,0.4
