StudentID,CourseID,midtermGrade,quizGrade,labGrade,homeworkGrade,finalGrade,makeUpGrade
2019510001,CME3010,40,55,65,50,-1,-1
2019510001,CME4010,85,90,75,80,-1,-1
2019510001,CME3020,60,70,55,65,-1,-1
2019510001,CME4020,95,88,80,85,-1,-1
2019510002,CME3030,45,50,60,55,-1,-1
2019510002,CME4030,80,85,70,75,-1,-1
2019510002,CME3040,65,70,55,60,-1,-1
2019510002,CME4040,90,87,80,85,-1,-1
2019510003,CME3050,35,45,55,50,-1,-1
2019510003,CME4050,75,80,65,70,-1,-1
2019510003,CME3010,60,65,55,60,-1,-1
2019510003,CME4010,85,90,75,80,-1,-1
2019510004,CME3020,50,60,45,55,-1,-1
2019510004,CME4020,85,88,75,80,-1,-1
2019510004,CME3030,70,75,65,70,-1,-1
2019510004,CME4030,90,85,80,85,-1,-1
2019510005,CME3040,45,55,60,50,-1,-1
2019510005,CME4040,80,85,70,75,-1,-1
2019510005,CME3050,65,75,55,65,-1,-1
2019510005,CME4050,95,88,80,85,-1,-1
2020510006,CME3010,50,60,55,50,-1,-1
2020510006,CME4010,85,90,75,80,-1,-1
2020510006,CME3020,60,70,55,65,-1,-1
2020510006,CME4020,95,88,80,85,-1,-1
2020510007,CME1010,45,50,60,55,-1,-1
2020510007,CME2010,80,85,70,75,-1,-1
2020510007,CME3040,65,70,55,60,-1,-1
2020510007,CME4040,90,87,80,85,-1,-1
2020510008,CME3050,35,45,55,50,-1,-1
2020510008,CME4050,75,80,65,70,-1,-1
2020510008,CME3010,60,65,55,60,-1,-1
2020510008,CME4010,85,90,75,80,-1,-1
2020510009,CME3020,50,60,45,55,-1,-1
2020510009,CME4020,80,88,75,80,-1,-1
2020510009,CME3030,70,75,65,70,-1,-1
2020510009,CME4030,90,85,80,85,-1,-1
2020510010,CME3040,45,55,60,50,-1,-1
2020510010,CME4040,80,85,70,75,-1,-1
2020510010,CME3050,65,75,55,65,-1,-1
2020510010,CME4050,95,88,80,85,-1,-1
2021510011,CME2010,35,45,55,50,20,-1
2021510011,CME3010,75,80,65,70,-1,-1
2021510011,CME2020,60,65,55,60,-1,-1
2021510011,CME3020,85,90,75,80,-1,-1
2021510012,CME2030,50,60,45,55,-1,-1
2021510012,CME3030,85,88,75,80,-1,-1
2021510012,CME2040,70,75,65,70,-1,-1
2021510012,CME3040,90,85,80,85,-1,-1
2021510013,CME2050,45,55,60,50,-1,-1
2021510013,CME3050,80,85,70,75,-1,-1
2021510013,CME2010,65,70,55,60,10,-1
2021510013,CME3010,85,88,75,80,-1,-1
2021510014,CME2020,35,45,55,50,-1,-1
2021510014,CME3020,75,80,65,70,-1,-1
2021510014,CME2030,60,65,55,60,-1,-1
2021510014,CME3030,85,90,75,80,-1,-1
2021510015,CME2040,50,60,45,55,-1,-1
2021510015,CME3040,85,88,75,80,-1,-1
2021510015,CME2050,70,75,65,70,-1,-1
2021510015,CME3050,90,85,80,85,-1,-1
2022510016,CME2010,45,55,60,50,30,-1
2022510016,CME2020,80,85,70,75,-1,-1
2022510016,CME2030,65,70,55,60,-1,-1
2022510016,CME2040,90,87,80,85,-1,-1
2022510017,CME2050,35,45,55,50,-1,-1
2022510017,CME2010,75,80,65,70,45,-1
2022510017,CME2020,60,65,55,60,-1,-1
2022510017,CME2030,85,90,75,80,-1,-1
2022510018,CME2040,50,60,45,55,-1,-1
2022510018,CME2050,85,88,75,80,-1,-1
2022510018,CME2010,70,75,65,70,65,-1
2022510018,CME2020,90,85,80,85,-1,-1
2022510019,CME2030,45,55,60,50,-1,-1
2022510019,CME2040,80,85,70,75,-1,-1
2022510019,CME2050,65,70,55,60,-1,-1
2022510019,CME2010,85,88,75,80,89,-1
2022510020,CME2020,35,45,55,50,-1,-1
2022510020,CME2030,75,80,65,70,-1,-1
2022510020,CME2040,60,65,55,60,-1,-1
2022510020,CME2050,85,90,75,80,-1,-1
2023510021,CME1010,90,60,45,55,100,-1
2023510021,CME1020,85,88,75,80,-1,-1
2023510021,CME1030,70,75,65,70,-1,-1
2023510021,CME1040,90,85,80,85,-1,-1
2023510022,CME1050,45,55,60,50,-1,-1
2023510022,CME1010,90,85,70,75,65,-1
2023510022,CME1020,65,70,55,60,-1,-1
2023510022,CME1030,85,88,75,80,-1,-1
2023510023,CME1040,35,45,55,50,-1,-1
2023510023,CME1050,75,80,65,70,-1,-1
2023510023,CME1010,100,65,55,60,0,10
2023510023,CME1020,85,90,75,80,-1,-1
2023510024,CME1030,50,60,45,55,-1,-1
2023510024,CME1040,85,88,75,80,-1,-1
2023510024,CME1050,70,75,65,70,-1,-1
2023510024,CME1010,20,85,80,85,45,-1
2023510025,CME1020,45,55,60,50,-1,-1
2023510025,CME1030,80,85,70,75,-1,-1
2023510025,CME1040,65,70,55,60,-1,-1
2023510025,CME1050,85,88,75,80,-1,-1
2020510026,CME3020,35,45,55,50,-1,-1
2020510026,CME4020,50,80,65,70,-1,-1
2020510026,CME3030,60,65,55,60,-1,-1
2020510026,CME4030,85,90,75,80,-1,-1
2020510027,CME3040,50,60,45,55,-1,-1
2020510027,CME4040,85,88,75,80,-1,-1
2020510027,CME3050,70,75,65,70,-1,-1
2020510027,CME4050,90,85,80,85,-1,-1
2020510028,CME3010,45,55,60,50,-1,-1
2020510028,CME4010,80,85,70,75,-1,-1
2020510028,CME3020,65,70,55,60,-1,-1
2020510028,CME4020,1,87,80,85,-1,-1
2020510029,CME3030,35,45,55,50,-1,-1
2020510029,CME4030,75,80,65,70,-1,-1
2020510029,CME3040,60,65,55,60,-1,-1
2020510029,CME4040,85,90,75,80,-1,-1
2020510030,CME3050,50,60,45,55,-1,-1
2020510030,CME4050,85,88,75,80,-1,-1
2020510030,CME3010,70,75,65,70,-1,-1
2020510030,CME4010,90,85,80,85,-1,-1
2021510031,CME2010,45,55,60,50,56,-1
2021510031,CME2020,80,85,70,75,-1,-1
2021510031,CME2030,65,70,55,60,-1,-1
2021510031,CME2040,85,88,75,80,-1,-1
2021510032,CME2050,35,45,55,50,-1,-1
2021510032,CME2010,75,80,65,70,20,-1
2021510032,CME2020,60,65,55,60,-1,-1
2021510032,CME2030,85,90,75,80,-1,-1
2021510033,CME2040,50,60,45,55,-1,-1
2021510033,CME2050,85,88,75,80,-1,-1
2021510033,CME2010,70,75,65,70,45,-1
2021510033,CME2020,90,85,80,85,-1,-1
2021510034,CME2030,45,55,60,50,-1,-1
2021510034,CME2040,80,85,70,75,-1,-1
2021510034,CME2050,65,70,55,60,-1,-1
2021510034,CME2010,85,88,75,80,89,-1
2021510035,CME2020,35,45,55,50,-1,-1
2021510035,CME2030,75,80,65,70,-1,-1
2021510035,CME2040,60,65,55,60,-1,-1
2021510035,CME2050,85,90,75,80,-1,-1
2021510036,CME2010,50,60,45,55,56,-1
2021510036,CME3010,85,88,75,80,-1,-1
2021510036,CME2020,70,75,65,70,-1,-1
2021510036,CME3020,90,85,80,85,-1,-1
2021510037,CME2030,45,55,60,50,-1,-1
2021510037,CME3030,80,85,70,75,-1,-1
2021510037,CME2040,65,70,55,60,-1,-1
2021510037,CME3040,90,87,80,85,-1,-1
2021510038,CME2050,35,45,55,50,-1,-1
2021510038,CME3050,75,80,65,70,-1,-1
2021510038,CME2010,60,65,55,60,74,-1
2021510038,CME3010,85,90,75,80,-1,-1
2021510039,CME2020,50,60,45,55,-1,-1
2021510039,CME3020,85,88,75,80,-1,-1
2021510039,CME2030,70,75,65,70,-1,-1
2021510039,CME3030,90,85,80,85,-1,-1
2021510040,CME2040,45,55,60,50,-1,-1
2021510040,CME3040,80,85,70,75,-1,-1
2021510040,CME2050,65,70,55,60,-1,-1
2021510040,CME3050,85,88,75,80,-1,-1
2021510041,CME2010,35,45,55,50,85,-1
2021510041,CME3010,75,80,65,70,-1,-1
2021510041,CME2020,60,65,55,60,-1,-1
2021510041,CME3020,85,90,75,80,-1,-1
2021510042,CME2030,50,60,45,55,-1,-1
2021510042,CME3030,85,88,75,80,-1,-1
2021510042,CME2040,70,75,65,70,-1,-1
2021510042,CME3040,90,85,80,85,-1,-1
2021510043,CME2050,45,55,60,50,-1,-1
2021510043,CME3050,80,85,70,75,-1,-1
2021510043,CME2010,65,70,55,60,95,-1
2021510043,CME3010,85,88,75,80,-1,-1
